track_popularity,mode,speechiness,instrumentalness,energy,danceability,liveness,acousticness,valence,duration_ms,type,key,tempo,loudness
65,0.0,0.357,0.0,0.372,0.889,0.184,0.013,0.123,162800.0,audio_features,7.0,133.997,-10.254
76,1.0,0.125,6e-05,0.626,0.835,0.396,0.0589,0.35,217925.0,audio_features,1.0,91.03,-5.833
70,1.0,0.0575,0.0128,0.318,0.822,0.11,0.493,0.138,245787.0,audio_features,10.0,102.998,-12.391
59,1.0,0.192,0.0,0.429,0.687,0.142,0.0407,0.336,289560.0,audio_features,2.0,141.966,-13.075
57,1.0,0.442,7.96e-06,0.449,0.5,0.115,0.422,0.104,219960.0,audio_features,0.0,144.206,-10.977
55,0.0,0.358,0.0,0.414,0.558,0.36,0.405,0.318,309560.0,audio_features,10.0,127.094,-7.355
32,0.0,0.294,0.0,0.587,0.614,0.123,0.14,0.153,136187.0,audio_features,9.0,84.453,-9.111
51,1.0,0.157,0.0427,0.405,0.912,0.105,0.0104,0.428,238614.0,audio_features,7.0,154.985,-8.132
28,1.0,0.299,0.0,0.48,0.539,0.115,0.0166,0.0549,184960.0,audio_features,1.0,74.269,-8.707
35,1.0,0.235,0.0,0.67,0.413,0.0796,0.0245,0.0789,302173.0,audio_features,1.0,172.438,-5.098
59,1.0,0.11,8.29e-05,0.452,0.758,0.583,0.0322,0.346,198973.0,audio_features,7.0,77.168,-9.21
41,0.0,0.259,2.43e-06,0.596,0.896,0.0841,0.354,0.416,214467.0,audio_features,11.0,149.984,-8.215
27,1.0,0.786,0.0,0.682,0.529,0.478,0.164,0.333,195720.0,audio_features,2.0,170.601,-7.941
38,0.0,0.0757,0.00244,0.576,0.754,0.276,0.0409,0.546,205147.0,audio_features,4.0,85.985,-8.578
33,0.0,0.0851,0.0,0.603,0.835,0.084,0.144,0.435,163974.0,audio_features,10.0,86.951,-7.25
28,1.0,0.231,0.0,0.842,0.506,0.142,0.0467,0.506,216333.0,audio_features,1.0,151.074,-5.464
26,1.0,0.185,7.59e-06,0.487,0.763,0.229,0.00262,0.354,223240.0,audio_features,11.0,140.098,-9.841
22,1.0,0.344,0.0,0.547,0.622,0.16,0.731,0.547,226907.0,audio_features,1.0,81.489,-7.679
24,0.0,0.0397,0.000103,0.209,0.687,0.106,0.849,0.254,206027.0,audio_features,9.0,91.971,-13.59
26,1.0,0.0357,0.0456,0.482,0.775,0.11,0.477,0.134,247893.0,audio_features,1.0,136.016,-11.269
34,1.0,0.0399,0.0,0.272,0.771,0.175,0.0342,0.0369,262453.0,audio_features,0.0,116.057,-5.703
55,1.0,0.0746,0.000238,0.9,0.693,0.12,0.0895,0.787,210747.0,audio_features,8.0,93.407,-6.51
31,0.0,0.0582,0.000328,0.32,0.807,0.101,0.133,0.298,182080.0,audio_features,0.0,94.99,-8.152
25,1.0,0.145,0.00217,0.555,0.66,0.0735,0.101,0.562,207307.0,audio_features,2.0,168.026,-12.497
29,1.0,0.218,0.00562,0.389,0.737,0.107,0.033,0.271,157605.0,audio_features,11.0,85.096,-6.75
30,1.0,0.349,1.43e-06,0.396,0.901,0.183,0.0142,0.118,162800.0,audio_features,10.0,133.979,-10.266
52,1.0,0.0971,8.67e-05,0.619,0.833,0.3,0.0496,0.366,217925.0,audio_features,8.0,91.022,-5.822
34,1.0,0.0574,0.0131,0.318,0.826,0.11,0.493,0.138,245787.0,audio_features,10.0,103.002,-12.391
26,1.0,0.188,0.0,0.426,0.678,0.138,0.0427,0.34,289560.0,audio_features,2.0,141.981,-13.115
19,1.0,0.398,9.91e-06,0.449,0.539,0.115,0.435,0.106,219960.0,audio_features,0.0,88.735,-11.098
20,0.0,0.363,0.0,0.413,0.502,0.36,0.41,0.311,309560.0,audio_features,10.0,92.956,-7.369
65,0.0,0.439,0.0,0.491,0.736,0.571,0.0681,0.203,218674.0,audio_features,10.0,141.979,-6.892
60,0.0,0.234,0.0,0.608,0.913,0.533,0.0671,0.578,149569.0,audio_features,10.0,97.063,-6.839
