Unnamed: 0,artist,album,track_name,track_id,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
40,Drake,"Honestly, Nevermind",Flight's Booked,6Yj7Zhxt73uvwFFvzQXdxO,67,0.593,0.41,3,-13.097,0,0.0531,0.886,0.0993,0.115,0.201,122.584,audio_features,6Yj7Zhxt73uvwFFvzQXdxO,spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,https://api.spotify.com/v1/tracks/6Yj7Zhxt73uvwFFvzQXdxO,https://api.spotify.com/v1/audio-analysis/6Yj7Zhxt73uvwFFvzQXdxO,254407,4
41,Drake,"Honestly, Nevermind",Overdrive,7hRlTK3mgFTBEjX7DjqBsI,62,0.502,0.645,2,-10.611,0,0.122,0.444,0.00964,0.107,0.518,109.739,audio_features,7hRlTK3mgFTBEjX7DjqBsI,spotify:track:7hRlTK3mgFTBEjX7DjqBsI,https://api.spotify.com/v1/tracks/7hRlTK3mgFTBEjX7DjqBsI,https://api.spotify.com/v1/audio-analysis/7hRlTK3mgFTBEjX7DjqBsI,202451,4
42,Drake,"Honestly, Nevermind",Down Hill,3N3d4OWbPVxTQVBFqNyykk,59,0.718,0.319,3,-11.261,1,0.0435,0.965,0.00036,0.0895,0.639,109.994,audio_features,3N3d4OWbPVxTQVBFqNyykk,spotify:track:3N3d4OWbPVxTQVBFqNyykk,https://api.spotify.com/v1/tracks/3N3d4OWbPVxTQVBFqNyykk,https://api.spotify.com/v1/audio-analysis/3N3d4OWbPVxTQVBFqNyykk,250865,4
43,Drake,"Honestly, Nevermind",Tie That Binds,1XsRwo2it6QHdV2OiT6IzF,62,0.775,0.688,4,-10.912,0,0.0593,0.0176,0.0917,0.108,0.284,120.017,audio_features,1XsRwo2it6QHdV2OiT6IzF,spotify:track:1XsRwo2it6QHdV2OiT6IzF,https://api.spotify.com/v1/tracks/1XsRwo2it6QHdV2OiT6IzF,https://api.spotify.com/v1/audio-analysis/1XsRwo2it6QHdV2OiT6IzF,336005,4
44,Drake,"Honestly, Nevermind",Liability,2vy9Ry1TNjCD85TiCbTz0r,63,0.557,0.706,0,-6.592,1,0.0649,0.268,0.0,0.132,0.582,105.013,audio_features,2vy9Ry1TNjCD85TiCbTz0r,spotify:track:2vy9Ry1TNjCD85TiCbTz0r,https://api.spotify.com/v1/tracks/2vy9Ry1TNjCD85TiCbTz0r,https://api.spotify.com/v1/audio-analysis/2vy9Ry1TNjCD85TiCbTz0r,237933,4
45,Drake,"Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage),3F5CgOj3wFlRv51JsHbxhe,89,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,audio_features,3F5CgOj3wFlRv51JsHbxhe,spotify:track:3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/tracks/3F5CgOj3wFlRv51JsHbxhe,https://api.spotify.com/v1/audio-analysis/3F5CgOj3wFlRv51JsHbxhe,218365,4
46,Drake,"Honestly, Nevermind",Intro,5lVmzrKaqPpPYtF7udoiNq,43,0.193,0.0218,0,-31.16,0,0.0389,0.955,0.88,0.117,0.213,125.501,audio_features,5lVmzrKaqPpPYtF7udoiNq,spotify:track:5lVmzrKaqPpPYtF7udoiNq,https://api.spotify.com/v1/tracks/5lVmzrKaqPpPYtF7udoiNq,https://api.spotify.com/v1/audio-analysis/5lVmzrKaqPpPYtF7udoiNq,36935,3
47,Drake,"Honestly, Nevermind",Falling Back,5zyZM1EiSqrniyqtprwxpv,55,0.718,0.758,10,-8.29,1,0.0703,0.238,0.00653,0.11,0.349,118.989,audio_features,5zyZM1EiSqrniyqtprwxpv,spotify:track:5zyZM1EiSqrniyqtprwxpv,https://api.spotify.com/v1/tracks/5zyZM1EiSqrniyqtprwxpv,https://api.spotify.com/v1/audio-analysis/5zyZM1EiSqrniyqtprwxpv,266179,4
48,Drake,"Honestly, Nevermind",Texts Go Green,7a5fliY9SsZENrQWQBZron,58,0.765,0.627,0,-4.607,1,0.0622,0.000916,0.195,0.0847,0.536,118.997,audio_features,7a5fliY9SsZENrQWQBZron,spotify:track:7a5fliY9SsZENrQWQBZron,https://api.spotify.com/v1/tracks/7a5fliY9SsZENrQWQBZron,https://api.spotify.com/v1/audio-analysis/7a5fliY9SsZENrQWQBZron,308820,4
49,Drake,"Honestly, Nevermind",Currents,7IaeavdRzXYQWfu2Wt5GlU,55,0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013,audio_features,7IaeavdRzXYQWfu2Wt5GlU,spotify:track:7IaeavdRzXYQWfu2Wt5GlU,https://api.spotify.com/v1/tracks/7IaeavdRzXYQWfu2Wt5GlU,https://api.spotify.com/v1/audio-analysis/7IaeavdRzXYQWfu2Wt5GlU,157390,4
